Years,GDP,Per Capita,Growth,Population,Population Growth,Inflation Rate,Total Investments,Govt Debt,Remittance,Unemployed Rate,,,net migration,Internet users
1960,3.75,83,,44988690,,6.947368421,,,,,,,,
1961,4.12,89,5.99,46065229,2.364729,1.640419948,,,,,,,,
1962,4.31,91,4.48,47198886,2.431188,-0.516462234,,,,,,,-93268,
1963,4.63,96,8.69,48387293,2.486695,1.456488448,,,,,,,,
1964,5.2,105,7.57,49627623,2.531036,4.179586881,,,,,,,,
1965,5.93,116,10.42,50917975,2.566841,5.568635479,,,,,,,,
1966,6.56,126,5.79,52260183,2.601876,7.227621598,,,,,,,,
1967,7.46,139,5.4,53655783,2.635449,6.811399634,,,,,,,-209978,
1968,8.04,146,7.23,55102690,2.660928,0.170627348,,,,,,,,
1969,8.68,153,5.51,56598148,2.677773,3.186986796,,,,,,,,
1970,10.03,172,11.35,58142062,2.69131,5.34984091,0.229369,,,,,,,
1971,10.67,179,0.47,59734479,2.702003,4.730691482,0.009376,,,,,,,
1972,9.42,153,0.81,61381982,2.720695,5.183237645,0.180563,,,,,,-138106,
1973,6.38,101,7.06,63099404,2.759498,23.07008403,-0.06266,,,,,,,
1974,8.9,137,3.54,64905996,2.822868,26.66303485,0.044948,,,,,,,
1975,11.23,168,4.21,66816875,2.901566,20.90450946,0.222606,,,,,,,
1976,13.17,191,5.16,68834324,2.974685,7.158323731,0.062428,,4.12E+08,,,,,
1977,15.13,213,3.95,70958168,3.0388,10.13296769,0.100642,,8.72E+08,,,,672203,
1978,17.81,243,8.05,73197254,3.106739,6.138692667,0.181193,,1.31E+09,,,,,
1979,19.69,261,3.76,75561128,3.178406,8.267046976,0.295881,,1.50E+09,,,,,
1980,23.65,303,10.22,78054346,3.246336,11.93823091,0.269011,,2.05E+09,,,,,
1981,28.1,348,7.92,80680461,3.30911,11.87991359,0.384635,,2.07E+09,,,,,
1982,30.73,368,6.54,83431597,3.353067,5.903528784,0.20775,,2.59E+09,,,,1387118,
1983,28.69,333,6.78,86285936,3.363952,6.3620335,0.102667,,2.94E+09,,,,,
1984,31.15,349,5.07,89213708,3.336809,6.087166736,0.178192,,2.58E+09,,,,,
